week,gameId,playId,nflId,displayName,position,frameId,teamAbbr,quarter,down,yardsToGo,yardlineNumber,yards_to_EZ,gameClock,time_to_snap,standard_x,standard_y,standard_dir,standard_o,s,dis,a,wasInitialPassRusher,pred
1,2022091200,85,42403,Randy Gregory,OLB,75,DEN,1,2,10,30,30,14:17:00,4.199999809265137,1.6699992370604946,5.909999923706099,287.62,229.58,0.09,0.01,0.23,1,0.7661902872632236
1,2022091200,85,42403,Randy Gregory,OLB,76,DEN,1,2,10,30,30,14:17:00,4.099999904632568,1.6799992370604997,5.899999923706101,259.2,231.48,0.02,0.01,0.32,1,0.7624608185050078
1,2022091200,85,42403,Randy Gregory,OLB,77,DEN,1,2,10,30,30,14:17:00,4,1.6599992370604966,5.8899999237061,223.9,232.54,0.09,0.02,0.21,1,0.7605490900583591
1,2022091200,85,42403,Randy Gregory,OLB,78,DEN,1,2,10,30,30,14:17:00,3.899999856948853,1.6299992370604954,5.879999923706102,241.8,231.92,0.17,0.03,0.13,1,0.7697739989670627
1,2022091200,85,42403,Randy Gregory,OLB,79,DEN,1,2,10,30,30,14:17:00,3.799999952316284,1.6199992370604974,5.879999923706102,242.9,229.18,0.15,0.01,0.07,1,0.7588790033816994
1,2022091200,85,42403,Randy Gregory,OLB,80,DEN,1,2,10,30,30,14:17:00,3.6999998092651367,1.6099992370604994,5.8699999237061,231.93,228,0.14,0.01,0.05,1,0.7582041829893956
1,2022091200,85,42403,Randy Gregory,OLB,81,DEN,1,2,10,30,30,14:17:00,3.5999999046325684,1.5999992370604943,5.859999923706102,221.73,228,0.15,0.01,0.08,1,0.7564640651070083
1,2022091200,85,42403,Randy Gregory,OLB,82,DEN,1,2,10,30,30,14:17:00,3.5,1.5899992370604965,5.8499999237061004,223.31,229.03,0.13,0.01,0.07,1,0.7585037125703404
1,2022091200,85,42403,Randy Gregory,OLB,83,DEN,1,2,10,30,30,14:17:00,3.3999998569488525,1.5899992370604965,5.839999923706102,214.18,227.01,0.1,0.01,0.17,1,0.7580987883642293
1,2022091200,85,42403,Randy Gregory,OLB,84,DEN,1,2,10,30,30,14:17:00,3.299999952316284,1.5899992370604965,5.829999923706101,213.47,226.11,0.07,0.01,0.18,1,0.7592454688455428
1,2022091200,85,42403,Randy Gregory,OLB,85,DEN,1,2,10,30,30,14:17:00,3.1999998092651367,1.5999992370604943,5.829999923706101,141.14,223.51,0.07,0.01,0.29,1,0.7434172826755132
1,2022091200,85,42403,Randy Gregory,OLB,86,DEN,1,2,10,30,30,14:17:00,3.0999999046325684,1.6299992370604954,5.7999999237061,133.28,218.14,0.22,0.04,0.36,1,0.7512374098824293
1,2022091200,85,42403,Randy Gregory,OLB,87,DEN,1,2,10,30,30,14:17:00,3,1.6299992370604954,5.789999923706102,132.12,215.5,0.19,0.01,0.19,1,0.7314376728307789
1,2022091200,85,42403,Randy Gregory,OLB,88,DEN,1,2,10,30,30,14:17:00,2.8999998569488525,1.6399992370605003,5.789999923706102,120.23,216.63,0.15,0.01,0.1,1,0.729356544608698
1,2022091200,85,42403,Randy Gregory,OLB,89,DEN,1,2,10,30,30,14:17:00,2.799999952316284,1.6499992370604986,5.789999923706102,119.97,217.61,0.13,0.01,0.13,1,0.728579224325913
1,2022091200,85,42403,Randy Gregory,OLB,90,DEN,1,2,10,30,30,14:17:00,2.6999998092651367,1.6699992370604946,5.789999923706102,97.93,213.09,0.14,0.02,0.25,1,0.7282010833514375
1,2022091200,85,42403,Randy Gregory,OLB,91,DEN,1,2,10,30,30,14:17:00,2.5999999046325684,1.6699992370604946,5.789999923706102,80.05,213.74,0.06,0.01,0.43,1,0.7209650961889396
1,2022091200,85,42403,Randy Gregory,OLB,92,DEN,1,2,10,30,30,14:17:00,2.5,1.6799992370604997,5.789999923706102,7.98,213.74,0.06,0.01,0.45,1,0.703330793096624
1,2022091200,85,42403,Randy Gregory,OLB,93,DEN,1,2,10,30,30,14:17:00,2.3999998569488525,1.6699992370604946,5.7999999237061,305.12,213.74,0.08,0.01,0.37,1,0.7651571218160957
1,2022091200,85,42403,Randy Gregory,OLB,94,DEN,1,2,10,30,30,14:17:00,2.299999952316284,1.6599992370604966,5.7999999237061,300.95,212.03,0.09,0.01,0.26,1,0.764885269161344
1,2022091200,85,42403,Randy Gregory,OLB,95,DEN,1,2,10,30,30,14:17:00,2.1999998092651367,1.6699992370604946,5.809999923706101,358.1,212.03,0.08,0.01,0.05,1,0.7748180735057143
1,2022091200,85,42403,Randy Gregory,OLB,96,DEN,1,2,10,30,30,14:17:00,2.0999999046325684,1.6599992370604966,5.809999923706101,332.74,212.03,0.06,0.01,0.03,1,0.771821357133673
1,2022091200,85,42403,Randy Gregory,OLB,97,DEN,1,2,10,30,30,14:17:00,2,1.6599992370604966,5.819999923706099,317.06,212.03,0.05,0,0.08,1,0.7623367138349122
1,2022091200,85,42403,Randy Gregory,OLB,98,DEN,1,2,10,30,30,14:17:00,1.8999998569488523,1.6499992370604986,5.819999923706099,297.88,212.03,0.08,0.01,0.06,1,0.7645391152529758
1,2022091200,85,42403,Randy Gregory,OLB,99,DEN,1,2,10,30,30,14:17:00,1.7999999523162842,1.6399992370605003,5.809999923706101,263.41,215.33,0.1,0.01,0.12,1,0.7571332598259255
1,2022091200,85,42403,Randy Gregory,OLB,100,DEN,1,2,10,30,30,14:17:00,1.6999998092651367,1.6299992370604954,5.819999923706099,282.26,215.33,0.09,0.01,0.05,1,0.762180218615482
1,2022091200,85,42403,Randy Gregory,OLB,101,DEN,1,2,10,30,30,14:17:00,1.5999999046325684,1.6199992370604974,5.819999923706099,282.45,214.24,0.08,0.01,0.01,1,0.7636785590198661
1,2022091200,85,42403,Randy Gregory,OLB,102,DEN,1,2,10,30,30,14:17:00,1.5,1.6199992370604974,5.829999923706101,294.7,214.24,0.06,0,0.07,1,0.7599999297576282
1,2022091200,85,42403,Randy Gregory,OLB,103,DEN,1,2,10,30,30,14:17:00,1.3999998569488523,1.6199992370604974,5.829999923706101,308.61,214.24,0.04,0,0.11,1,0.7633464895165124
1,2022091200,85,42403,Randy Gregory,OLB,104,DEN,1,2,10,30,30,14:17:00,1.2999999523162842,1.6199992370604974,5.839999923706102,6.74,210.02,0.06,0.01,0.19,1,0.7065672529335524
1,2022091200,85,42403,Randy Gregory,OLB,105,DEN,1,2,10,30,30,14:17:00,1.1999998092651367,1.6199992370604974,5.859999923706102,2.43,208.58,0.1,0.01,0.18,1,0.7030079728822127
1,2022091200,85,42403,Randy Gregory,OLB,106,DEN,1,2,10,30,30,14:17:00,1.0999999046325684,1.6199992370604974,5.859999923706102,9.32,206.82,0.09,0.01,0.08,1,0.7050009504040874
1,2022091200,85,42403,Randy Gregory,OLB,107,DEN,1,2,10,30,30,14:17:00,1,1.6199992370604974,5.859999923706102,3.58,205.82,0.04,0.01,0.1,1,0.7063725346107977
1,2022091200,85,42403,Randy Gregory,OLB,108,DEN,1,2,10,30,30,14:17:00,0.8999998569488525,1.6299992370604954,5.859999923706102,73.5,207.45,0.1,0.02,0.28,1,0.7236412654132723
1,2022091200,85,42403,Randy Gregory,OLB,109,DEN,1,2,10,30,30,14:17:00,0.7999999523162842,1.6399992370605003,5.859999923706102,93.34,208.87,0.11,0.01,0.32,1,0.7179864078066778
1,2022091200,85,42403,Randy Gregory,OLB,110,DEN,1,2,10,30,30,14:17:00,0.6999998092651367,1.6699992370604946,5.859999923706102,95.6,208.87,0.21,0.02,0.43,1,0.7157506842935836
1,2022091200,85,42403,Randy Gregory,OLB,111,DEN,1,2,10,30,30,14:17:00,0.5999999046325684,1.6899992370604977,5.859999923706102,98.05,207.96,0.29,0.03,0.5,1,0.7161773774276935
1,2022091200,85,42403,Randy Gregory,OLB,112,DEN,1,2,10,30,30,14:17:00,0.5,1.7199992370604988,5.8499999237061004,101.29,202.84,0.34,0.03,0.42,1,0.7103084064588048
1,2022091200,85,42403,Randy Gregory,OLB,113,DEN,1,2,10,30,30,14:17:00,0.39999985694885254,1.7299992370604969,5.8499999237061004,100.96,204.7,0.23,0.01,0.05,1,0.6995160671337458
1,2022091200,85,42403,Randy Gregory,OLB,114,DEN,1,2,10,30,30,14:17:00,0.2999999523162842,1.7199992370604988,5.8499999237061004,144.45,210.17,0.06,0.01,0.49,1,0.7190535905840052
1,2022091200,85,42403,Randy Gregory,OLB,115,DEN,1,2,10,30,30,14:17:00,0.19999980926513672,1.7099992370604935,5.839999923706102,233.89,210.17,0.09,0.01,0.63,1,0.7371799474807395
1,2022091200,85,42403,Randy Gregory,OLB,116,DEN,1,2,10,30,30,14:17:00,0.09999990463256836,1.6599992370604966,5.839999923706102,268.65,213.36,0.38,0.05,1.13,1,0.761482192555381
